<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ДетскийМир;D;20180327;000000;95.35;96.35;95.2;96.3;95140;0
ДетскийМир;D;20180328;000000;96.5;96.5;94.35;96;478430;0
ДетскийМир;D;20180329;000000;96;96.05;94.9;95.95;156980;0
ДетскийМир;D;20180330;000000;95.85;96.6;95.45;96.45;25860;0
ДетскийМир;D;20180402;000000;95.6;97;95.55;96.4;48480;0
ДетскийМир;D;20180403;000000;97;97;95.9;96.05;469450;0
ДетскийМир;D;20180404;000000;96.9;96.9;95.35;95.5;59140;0
ДетскийМир;D;20180405;000000;95.9;96;95.5;95.55;225180;0
ДетскийМир;D;20180406;000000;95.95;96.05;94.15;94.15;338450;0
ДетскийМир;D;20180409;000000;94;94;85;91;1462480;0
ДетскийМир;D;20180410;000000;91;91.5;89.15;89.45;1483960;0
ДетскийМир;D;20180411;000000;90.2;90.4;87.35;89;480440;0
ДетскийМир;D;20180412;000000;89.6;93.4;89.05;90.45;430930;0
ДетскийМир;D;20180413;000000;90.15;90.75;90;90.05;2411520;0
ДетскийМир;D;20180416;000000;89.9;90.25;88.6;90;1389080;0
ДетскийМир;D;20180417;000000;90.3;91.8;86.55;88.9;457780;0
ДетскийМир;D;20180418;000000;89.15;89.75;88.1;89.05;1760450;0
ДетскийМир;D;20180419;000000;89.5;89.7;88.55;88.55;169280;0
ДетскийМир;D;20180420;000000;88.9;89.7;88.6;89.7;429040;0
ДетскийМир;D;20180423;000000;89.75;90;89.45;89.9;750050;0
ДетскийМир;D;20180424;000000;89.9;90.2;88.35;89.65;915020;0
ДетскийМир;D;20180425;000000;89;90.65;89;90.25;287800;0
ДетскийМир;D;20180426;000000;90.5;92;90.45;92;978470;0
ДетскийМир;D;20180427;000000;93.5;93.85;92;93;960130;0
ДетскийМир;D;20180428;000000;93.9;93.9;92.1;92.95;52580;0
ДетскийМир;D;20180430;000000;93.3;93.5;92.85;93.4;54550;0
ДетскийМир;D;20180502;000000;92.85;94;92.85;93.5;40490;0
ДетскийМир;D;20180503;000000;94.35;94.35;93.2;93.5;227510;0
ДетскийМир;D;20180504;000000;94;95.15;93.65;95.15;236050;0
ДетскийМир;D;20180507;000000;95.25;96.1;95;95.45;144400;0
ДетскийМир;D;20180508;000000;95.25;96;94.5;95.95;305990;0
ДетскийМир;D;20180510;000000;95.15;96.9;94.95;95.75;98530;0
ДетскийМир;D;20180511;000000;95.75;95.75;95;95.2;81720;0
ДетскийМир;D;20180514;000000;95.5;95.6;94.8;95.15;187000;0
ДетскийМир;D;20180515;000000;95.95;96.3;94.35;95.35;367940;0
ДетскийМир;D;20180516;000000;95.8;96;95;95.9;75650;0
ДетскийМир;D;20180517;000000;96.2;96.95;95.4;96.25;68990;0
ДетскийМир;D;20180518;000000;95.95;96.65;95.85;96.65;385860;0
ДетскийМир;D;20180521;000000;96;97.3;95.95;96.8;82200;0
ДетскийМир;D;20180522;000000;97.2;97.5;96;96.9;145100;0
ДетскийМир;D;20180523;000000;96.05;97;95.4;95.4;242750;0
ДетскийМир;D;20180524;000000;95.95;97.3;95.05;96.5;485570;0
ДетскийМир;D;20180525;000000;96.55;96.9;96.15;96.5;741120;0
ДетскийМир;D;20180528;000000;93.1;93.8;91.5;93.1;447030;0
ДетскийМир;D;20180529;000000;93.4;95.6;92.8;95.3;687370;0
ДетскийМир;D;20180530;000000;94.5;95.7;93.55;94.8;229590;0
ДетскийМир;D;20180531;000000;94.9;95.3;93.8;95;682750;0
ДетскийМир;D;20180601;000000;94.6;94.7;93.85;93.95;168600;0
ДетскийМир;D;20180604;000000;93.95;95;93.95;94.9;56260;0
ДетскийМир;D;20180605;000000;94.9;95.35;94;94;60530;0
ДетскийМир;D;20180606;000000;93.9;95.3;93.85;94.4;174940;0
ДетскийМир;D;20180607;000000;95;95;94.1;94.15;200900;0
ДетскийМир;D;20180608;000000;94.1;94.9;94;94.05;82670;0
ДетскийМир;D;20180609;000000;93.75;94.85;91.6;94.6;21620;0
ДетскийМир;D;20180611;000000;94.5;95.1;94;94.4;240970;0
ДетскийМир;D;20180613;000000;94.35;94.7;94.15;94.15;131550;0
ДетскийМир;D;20180614;000000;94.3;94.5;93.8;94;124260;0
ДетскийМир;D;20180615;000000;94;94.5;93.3;94.5;157830;0
ДетскийМир;D;20180618;000000;94.5;94.5;93;93.5;176610;0
ДетскийМир;D;20180619;000000;93.15;93.8;92.5;93.5;274200;0
ДетскийМир;D;20180620;000000;92.7;94;92.55;93.6;776890;0
ДетскийМир;D;20180621;000000;94;94;93.3;93.8;365920;0
ДетскийМир;D;20180622;000000;93.95;94;91.2;92.55;2030870;0
ДетскийМир;D;20180625;000000;93.4;93.4;92.25;92.5;74620;0
ДетскийМир;D;20180626;000000;92.9;93.5;92.3;92.5;94020;0
ДетскийМир;D;20180627;000000;92.4;92.5;91.75;92;104140;0
ДетскийМир;D;20180628;000000;92;92.3;91.55;91.55;122850;0
ДетскийМир;D;20180629;000000;92;92.4;91.75;92;313950;0
ДетскийМир;D;20180702;000000;92;92.3;90.45;91.1;276270;0
ДетскийМир;D;20180703;000000;91.4;93;90.65;93;118760;0
ДетскийМир;D;20180704;000000;91;92;90.9;90.95;89410;0
ДетскийМир;D;20180705;000000;90.75;91.7;90.7;91;266980;0
ДетскийМир;D;20180706;000000;90.9;91.2;90.8;91.1;189790;0
ДетскийМир;D;20180709;000000;91.15;91.65;91;91.4;149360;0
ДетскийМир;D;20180710;000000;91.4;92;91;91.35;1655750;0
ДетскийМир;D;20180711;000000;91.1;91.85;90.55;91;242460;0
ДетскийМир;D;20180712;000000;91;91.7;90.95;91.7;120820;0
ДетскийМир;D;20180713;000000;91.05;91.75;90.35;90.7;131410;0
ДетскийМир;D;20180716;000000;90.95;91.6;90.75;91.6;65180;0
ДетскийМир;D;20180717;000000;91;91.25;90.85;91.05;76910;0
ДетскийМир;D;20180718;000000;91.4;91.5;90.55;91.25;151970;0
ДетскийМир;D;20180719;000000;90.85;91;90.7;90.7;65890;0
ДетскийМир;D;20180720;000000;90.75;91;90.6;91;86710;0
ДетскийМир;D;20180723;000000;91;91.15;90.75;90.8;57240;0
ДетскийМир;D;20180724;000000;91;91;90.3;90.5;241470;0
ДетскийМир;D;20180725;000000;90.2;90.5;89.25;89.5;170350;0
ДетскийМир;D;20180726;000000;89.85;90.35;89.65;90;262470;0
ДетскийМир;D;20180727;000000;90.35;90.35;89.65;89.95;79480;0
ДетскийМир;D;20180730;000000;90.1;90.55;89.6;89.8;120810;0
ДетскийМир;D;20180731;000000;89.9;90.4;89.75;89.8;218930;0
ДетскийМир;D;20180801;000000;89.7;90.35;89.55;89.7;50510;0
ДетскийМир;D;20180802;000000;89.85;89.95;88.85;88.85;68880;0
ДетскийМир;D;20180803;000000;89.85;89.85;88;88.2;71260;0
ДетскийМир;D;20180806;000000;88.7;90;88.05;89.75;73480;0
ДетскийМир;D;20180807;000000;89.55;90;89.2;89.9;168840;0
ДетскийМир;D;20180808;000000;89.7;89.7;88.4;88.5;91290;0
ДетскийМир;D;20180809;000000;88.2;88.3;86.6;87.75;165240;0
ДетскийМир;D;20180810;000000;87.7;87.7;86.5;86.9;82350;0
ДетскийМир;D;20180813;000000;86.9;87.9;86.45;87.25;53640;0
ДетскийМир;D;20180814;000000;87.6;88.15;87.25;88;48110;0
ДетскийМир;D;20180815;000000;87.25;88.05;86.65;86.85;35370;0
ДетскийМир;D;20180816;000000;86.85;87.45;86.55;86.75;50560;0
ДетскийМир;D;20180817;000000;86.45;86.55;84.05;84.85;267450;0
ДетскийМир;D;20180820;000000;85.2;85.5;84.55;85.1;65910;0
ДетскийМир;D;20180821;000000;86.15;88.1;85.8;87.65;331040;0
ДетскийМир;D;20180822;000000;88.05;89.9;88.05;89.4;234280;0
ДетскийМир;D;20180823;000000;89.3;89.85;87.75;88.5;320500;0
ДетскийМир;D;20180824;000000;88.1;89.5;88.05;89.45;263450;0
ДетскийМир;D;20180827;000000;89.3;90.5;89;89.45;82130;0
ДетскийМир;D;20180828;000000;89.35;90.25;89.1;90;150240;0
ДетскийМир;D;20180829;000000;89.75;90.55;89.45;90.3;189910;0
ДетскийМир;D;20180830;000000;90;90.75;89.5;90.45;131650;0
ДетскийМир;D;20180831;000000;90.45;90.75;89;90;76090;0
ДетскийМир;D;20180903;000000;90.6;91.35;90;90.9;108770;0
ДетскийМир;D;20180904;000000;91;91.65;90.1;90.45;110490;0
ДетскийМир;D;20180905;000000;94;94.6;91.55;91.95;1110260;0
ДетскийМир;D;20180906;000000;91.85;92.8;91.5;91.5;295620;0
ДетскийМир;D;20180907;000000;91.9;92.65;91.3;92.65;382310;0
ДетскийМир;D;20180910;000000;92.7;93.95;91.15;91.75;518890;0
ДетскийМир;D;20180911;000000;91.45;92.8;91.45;92.15;307420;0
ДетскийМир;D;20180912;000000;92.95;93.45;92.3;92.8;247860;0
ДетскийМир;D;20180913;000000;92.7;93.75;92.15;92.5;83810;0
ДетскийМир;D;20180914;000000;92.95;93.1;92.4;92.85;95060;0
ДетскийМир;D;20180917;000000;93.1;93.35;92.8;92.8;126440;0
ДетскийМир;D;20180918;000000;92.75;93.55;92.6;93.55;496090;0
ДетскийМир;D;20180919;000000;93.55;93.8;92.5;93.4;410500;0
ДетскийМир;D;20180920;000000;93.35;93.5;92.8;92.9;174110;0
ДетскийМир;D;20180921;000000;93.1;95;93;95;905160;0
ДетскийМир;D;20180924;000000;94;94;91.3;93.25;349000;0
ДетскийМир;D;20180925;000000;93.5;93.7;93.05;93.35;148070;0
ДетскийМир;D;20180926;000000;93.5;93.55;93.05;93.4;145140;0
ДетскийМир;D;20180927;000000;93.1;93.5;92.75;92.75;289690;0
ДетскийМир;D;20180928;000000;92.8;93;91.55;93;172020;0
ДетскийМир;D;20181001;000000;92.85;93.5;92.5;93.2;75900;0
ДетскийМир;D;20181002;000000;93.4;93.4;91.05;91.95;108620;0
ДетскийМир;D;20181003;000000;91.6;92.55;91.6;92;163880;0
ДетскийМир;D;20181004;000000;91.6;92;89.5;91.2;192970;0
ДетскийМир;D;20181005;000000;91.4;91.4;90;90.3;363660;0
ДетскийМир;D;20181008;000000;90.9;91.1;90.05;90.6;40330;0
ДетскийМир;D;20181009;000000;90.8;92;89.9;90.5;200340;0
ДетскийМир;D;20181010;000000;90.15;91.25;90;91.05;120620;0
ДетскийМир;D;20181011;000000;90.45;91.25;88.75;90.25;144060;0
ДетскийМир;D;20181012;000000;90;92.35;90;90.2;191170;0
ДетскийМир;D;20181015;000000;90.2;92.3;90;90.75;200620;0
ДетскийМир;D;20181016;000000;90.8;91.3;90.5;90.8;196490;0
ДетскийМир;D;20181017;000000;90.8;91;89.45;89.95;537810;0
ДетскийМир;D;20181018;000000;90.2;90.2;89.05;89.5;176970;0
ДетскийМир;D;20181019;000000;90;90;88.6;88.65;187660;0
ДетскийМир;D;20181022;000000;88.6;89.2;85.55;85.9;158420;0
ДетскийМир;D;20181023;000000;85.9;88.2;85.8;86.25;212020;0
ДетскийМир;D;20181024;000000;86.3;88.3;85.6;87;623900;0
ДетскийМир;D;20181025;000000;86.5;87.3;86.15;86.35;54840;0
ДетскийМир;D;20181026;000000;86.9;88.45;86.55;87.85;231260;0
ДетскийМир;D;20181029;000000;88.6;89.95;87.65;87.65;238480;0
ДетскийМир;D;20181030;000000;88.8;88.9;87.3;88.2;220990;0
ДетскийМир;D;20181031;000000;88.9;89.85;88.85;89.5;235270;0
ДетскийМир;D;20181101;000000;89.5;90.5;89.2;90.38;217570;0
ДетскийМир;D;20181102;000000;90.38;90.9;90;90.76;296570;0
ДетскийМир;D;20181106;000000;90.76;90.94;90.12;90.5;193580;0
ДетскийМир;D;20181107;000000;90.68;90.98;89.98;90.3;122250;0
ДетскийМир;D;20181108;000000;90.88;91.2;90.18;90.8;401700;0
ДетскийМир;D;20181109;000000;90.7;91.12;90;90.38;213050;0
ДетскийМир;D;20181112;000000;91;91.4;89.5;91;146880;0
ДетскийМир;D;20181113;000000;91.4;111.1;90;90.66;337670;0
ДетскийМир;D;20181114;000000;90.66;91;90.24;90.62;64170;0
ДетскийМир;D;20181115;000000;91.68;91.68;90;90.32;104250;0
ДетскийМир;D;20181116;000000;90.5;90.7;89.9;90;93230;0
ДетскийМир;D;20181119;000000;90.58;90.86;90.02;90.36;80130;0
ДетскийМир;D;20181120;000000;90.36;90.38;89.58;89.98;63230;0
ДетскийМир;D;20181121;000000;89.46;89.98;89.12;89.82;146380;0
ДетскийМир;D;20181122;000000;89.74;90.6;89.5;89.88;131400;0
ДетскийМир;D;20181123;000000;90.64;90.64;89.02;89.34;86360;0
ДетскийМир;D;20181126;000000;89.44;90.6;89.12;89.62;125820;0
ДетскийМир;D;20181127;000000;89.72;90.18;89.62;89.86;45380;0
ДетскийМир;D;20181128;000000;89.7;93.66;89.6;92.52;635570;0
