<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОР ао;D;20180709;000000;98.4;103.95;98.4;99.6;81910;0
ОР ао;D;20180710;000000;100.1;100.1;97;97.7;114840;0
ОР ао;D;20180711;000000;98.95;99;97.1;97.75;31460;0
ОР ао;D;20180712;000000;98.8;99.95;97.05;98.6;6050;0
ОР ао;D;20180713;000000;98.1;98.6;96;96;9820;0
ОР ао;D;20180716;000000;97.95;98;97.2;97.25;1590;0
ОР ао;D;20180717;000000;97.95;97.95;97.1;97.15;900;0
ОР ао;D;20180718;000000;96.15;98.5;96.15;97.7;7490;0
ОР ао;D;20180719;000000;98.45;98.5;96.05;96.05;8480;0
ОР ао;D;20180720;000000;97.25;97.75;96.5;96.5;30220;0
ОР ао;D;20180723;000000;96.85;97.6;96.7;96.95;2100;0
ОР ао;D;20180724;000000;96.95;97.7;96.95;97.05;18440;0
ОР ао;D;20180725;000000;97.7;97.7;96.05;96.1;6400;0
ОР ао;D;20180726;000000;97.75;98.5;96.95;97.9;7370;0
ОР ао;D;20180727;000000;97.65;98.45;95.75;95.75;7670;0
ОР ао;D;20180730;000000;97.05;97.1;95;95;9070;0
ОР ао;D;20180731;000000;95.45;95.45;94.3;94.7;6870;0
ОР ао;D;20180801;000000;94.7;95.2;94.3;95.15;1470;0
ОР ао;D;20180802;000000;94.35;97.65;93.2;94.5;13830;0
ОР ао;D;20180803;000000;94.4;95.85;93.55;94.5;5880;0
ОР ао;D;20180806;000000;96.05;101.25;95.95;101.25;31100;0
ОР ао;D;20180807;000000;101.85;103.9;98.65;98.65;6950;0
ОР ао;D;20180808;000000;100.4;100.4;98.5;99.15;6020;0
ОР ао;D;20180809;000000;99;99;95.65;95.65;840;0
ОР ао;D;20180810;000000;98;98;94.2;94.2;4090;0
ОР ао;D;20180813;000000;98.5;99.5;97.65;99;5990;0
ОР ао;D;20180814;000000;98.45;99.25;98.45;99.25;360;0
ОР ао;D;20180815;000000;98.45;98.45;98.45;98.45;80;0
ОР ао;D;20180816;000000;99.25;99.25;98.4;98.4;110;0
ОР ао;D;20180817;000000;99.25;99.95;90;98.4;3690;0
ОР ао;D;20180820;000000;98.4;99.25;98;98.5;790;0
ОР ао;D;20180821;000000;98.9;98.9;98.1;98.9;740;0
ОР ао;D;20180822;000000;98.8;101;98.8;101;200;0
ОР ао;D;20180823;000000;98.8;98.8;98.05;98.75;650;0
ОР ао;D;20180824;000000;98.85;98.9;93.75;94;47130;0
ОР ао;D;20180827;000000;94.4;99.95;91.05;92.5;53660;0
ОР ао;D;20180828;000000;94.5;94.5;92.6;93.25;12350;0
ОР ао;D;20180829;000000;93.05;94.1;93;94.05;5410;0
ОР ао;D;20180830;000000;94.05;94.05;93.55;94.05;2720;0
ОР ао;D;20180831;000000;94;94.65;93.85;94.65;1870;0
ОР ао;D;20180903;000000;94.65;100;93.85;98;8930;0
ОР ао;D;20180904;000000;95.4;95.4;94.15;95;3380;0
ОР ао;D;20180905;000000;95;95;94.25;95;200;0
ОР ао;D;20180906;000000;94.2;95;94;94.9;4280;0
ОР ао;D;20180907;000000;94;94.2;92.7;92.7;6440;0
ОР ао;D;20180910;000000;92.6;92.6;83;88.1;24690;0
ОР ао;D;20180911;000000;90.75;91.55;90.65;90.75;75390;0
ОР ао;D;20180912;000000;91.2;91.2;90.65;90.65;2040;0
ОР ао;D;20180913;000000;91.35;91.45;90.65;91.45;870;0
ОР ао;D;20180914;000000;91;91.45;90.7;91.45;1790;0
ОР ао;D;20180917;000000;91.45;91.8;90.95;90.95;4510;0
ОР ао;D;20180918;000000;91.1;91.75;91.1;91.75;130;0
ОР ао;D;20180919;000000;91;91.8;90.9;91.8;670;0
ОР ао;D;20180920;000000;91.05;91.8;90.75;91.4;3860;0
ОР ао;D;20180921;000000;90.55;91.3;89.8;90.6;8820;0
ОР ао;D;20180924;000000;90.6;90.8;89.4;90;9250;0
ОР ао;D;20180925;000000;90;90;88.5;88.5;3900;0
ОР ао;D;20180926;000000;89.35;89.35;88.5;88.8;930;0
ОР ао;D;20180927;000000;90;93;90;92.25;2500;0
ОР ао;D;20180928;000000;90.75;90.85;89.2;90.5;11380;0
ОР ао;D;20181001;000000;89.85;90;89;89.25;4130;0
ОР ао;D;20181002;000000;89.3;89.85;88.2;89.05;7580;0
ОР ао;D;20181003;000000;89;89;88.2;88.3;2510;0
ОР ао;D;20181004;000000;88.85;88.85;87.9;87.95;1780;0
ОР ао;D;20181005;000000;87.4;87.5;86.6;86.6;2550;0
ОР ао;D;20181008;000000;86.65;87.3;86.65;87;230;0
ОР ао;D;20181009;000000;87.35;87.35;85.6;86.45;4430;0
ОР ао;D;20181010;000000;85.65;86;85.45;85.45;4220;0
ОР ао;D;20181011;000000;85.45;85.45;83.6;84.25;11710;0
ОР ао;D;20181012;000000;83.6;84.3;83.55;83.6;2720;0
ОР ао;D;20181015;000000;83.6;83.9;83.6;83.9;400;0
ОР ао;D;20181016;000000;83.9;83.9;83.1;83.1;2320;0
ОР ао;D;20181017;000000;83.15;83.85;83.1;83.75;4740;0
ОР ао;D;20181018;000000;83.15;83.8;82.5;82.75;8460;0
ОР ао;D;20181019;000000;82.5;82.9;82.5;82.9;550;0
ОР ао;D;20181022;000000;83;90.05;82.3;82.95;98310;0
ОР ао;D;20181023;000000;82.9;83;82.3;82.5;6960;0
ОР ао;D;20181024;000000;82.5;82.5;82.4;82.5;800;0
ОР ао;D;20181025;000000;82.3;82.5;82.1;82.45;1770;0
ОР ао;D;20181026;000000;90;99.7;82.15;82.7;335650;0
ОР ао;D;20181029;000000;85;85;80;80.5;40700;0
ОР ао;D;20181030;000000;80.5;81.45;80.05;81.4;21160;0
ОР ао;D;20181031;000000;80.8;81.45;80.7;81.45;26780;0
ОР ао;D;20181101;000000;84;84;80.6;81.4;14450;0
ОР ао;D;20181102;000000;81;81.4;80.6;81.1;7730;0
ОР ао;D;20181106;000000;81.25;81.25;76.9;78.85;45710;0
ОР ао;D;20181107;000000;78.4;78.4;76;76.7;25610;0
ОР ао;D;20181108;000000;79.35;80.15;76.3;76.4;23150;0
ОР ао;D;20181109;000000;78.85;78.85;72;73.5;68330;0
ОР ао;D;20181112;000000;73.15;73.15;70;70.8;67350;0
ОР ао;D;20181113;000000;70.5;70.8;68.35;70.8;26640;0
ОР ао;D;20181114;000000;70.85;73.9;69.05;69.05;11470;0
ОР ао;D;20181115;000000;71.05;73.65;70.05;70.65;49510;0
ОР ао;D;20181116;000000;71.6;71.6;69.85;69.85;13300;0
ОР ао;D;20181119;000000;70.55;71.15;69.8;69.9;28090;0
ОР ао;D;20181120;000000;70;70;69.3;70;6310;0
ОР ао;D;20181121;000000;69.9;69.95;67;69.25;6620;0
ОР ао;D;20181122;000000;69.8;71.7;67.8;71.5;7140;0
ОР ао;D;20181123;000000;71.45;71.45;69.3;69.35;4560;0
ОР ао;D;20181126;000000;69.75;69.85;68.1;68.1;5910;0
ОР ао;D;20181127;000000;69.85;69.9;67;68.55;24810;0
ОР ао;D;20181128;000000;68.45;69.35;65.25;65.7;67220;0
ОР ао;D;20181129;000000;65.45;65.55;64.1;64.25;29560;0
ОР ао;D;20181130;000000;64.35;64.35;62.05;62.05;11920;0
ОР ао;D;20181203;000000;62.9;63.05;59;59.45;130790;0
ОР ао;D;20181204;000000;58.55;60;58.1;58.7;38890;0
ОР ао;D;20181205;000000;58.7;58.8;58.15;58.4;5340;0
ОР ао;D;20181206;000000;59.55;59.55;57.5;57.5;10630;0
ОР ао;D;20181207;000000;57.4;58;55;55.05;52710;0
ОР ао;D;20181210;000000;55.5;55.5;54.55;54.65;11190;0
ОР ао;D;20181211;000000;54.6;55.15;50.55;54;42950;0
ОР ао;D;20181212;000000;54.1;55.25;53.75;54.65;219730;0
ОР ао;D;20181213;000000;55;55.3;53.3;55.3;22150;0
ОР ао;D;20181214;000000;56.4;59.65;53.2;54.15;86820;0
ОР ао;D;20181217;000000;53.55;56.2;53.55;54.15;22520;0
ОР ао;D;20181218;000000;54;55.25;54;54.45;53040;0
ОР ао;D;20181219;000000;56.3;56.35;53.1;53.5;28660;0
ОР ао;D;20181220;000000;53.05;53.55;50.55;51;20120;0
ОР ао;D;20181221;000000;52.5;52.5;48.5;49.25;38270;0
ОР ао;D;20181224;000000;50;50.5;46.1;46.5;55920;0
ОР ао;D;20181225;000000;48.9;48.9;42;44.4;43190;0
ОР ао;D;20181226;000000;44.9;45.75;43.15;45;27920;0
ОР ао;D;20181227;000000;45.75;48.5;45;48;42500;0
ОР ао;D;20181228;000000;48.15;52;47.3;48.4;76260;0
ОР ао;D;20181229;000000;49.95;56.4;49;50.95;84750;0
ОР ао;D;20190103;000000;50.9;51.35;49.9;50.4;8970;0
ОР ао;D;20190104;000000;50.3;50.45;48.8;50.1;7560;0
ОР ао;D;20190108;000000;49.1;51.25;48.4;50.75;20210;0
ОР ао;D;20190109;000000;51.15;51.95;50.25;50.75;7670;0
ОР ао;D;20190110;000000;52.2;52.2;50.85;51.8;15070;0
ОР ао;D;20190111;000000;53.1;53.9;51.8;52;67800;0
ОР ао;D;20190114;000000;51.6;53.9;51.5;51.85;31310;0
ОР ао;D;20190115;000000;51.65;52.2;51.6;51.9;13890;0
ОР ао;D;20190116;000000;51.95;69.8;51.6;67.1;267160;0
ОР ао;D;20190117;000000;70.6;71.8;61.3;62.65;207440;0
ОР ао;D;20190118;000000;62.6;67;62.05;63;76140;0
ОР ао;D;20190121;000000;63;63.85;60;60.65;35160;0
ОР ао;D;20190122;000000;60;61.05;58.3;59.4;36200;0
ОР ао;D;20190123;000000;59.6;60.8;55.05;58.95;57980;0
ОР ао;D;20190124;000000;55.7;59.5;55.7;58.85;18400;0
ОР ао;D;20190125;000000;59;59.95;58.5;58.9;33320;0
ОР ао;D;20190128;000000;57.6;58.5;57.55;58.35;24490;0
ОР ао;D;20190129;000000;58.4;58.4;57.7;57.7;45700;0
ОР ао;D;20190130;000000;57.65;58;57;57;101910;0
ОР ао;D;20190131;000000;56.65;57.1;54.2;54.95;50180;0
ОР ао;D;20190201;000000;55.55;57.25;55.05;55.25;13280;0
ОР ао;D;20190204;000000;55.45;55.45;52.7;55;37240;0
ОР ао;D;20190205;000000;54.6;55;54;54.5;7460;0
ОР ао;D;20190206;000000;54.2;55;53.9;55;5100;0
ОР ао;D;20190207;000000;55;55;53.9;54.45;11520;0
ОР ао;D;20190208;000000;54.15;65.6;54;54.9;66780;0
ОР ао;D;20190211;000000;54.6;55.6;54.6;54.95;19110;0
ОР ао;D;20190212;000000;54.85;57.85;54.8;55;202850;0
ОР ао;D;20190213;000000;55.1;55.8;54.7;55;56050;0
ОР ао;D;20190214;000000;54.75;55;54.55;54.95;10230;0
ОР ао;D;20190215;000000;55;55;54.55;54.9;8130;0
ОР ао;D;20190218;000000;54.75;55;54.5;54.9;9540;0
ОР ао;D;20190219;000000;54.75;55;54.55;54.8;12670;0
ОР ао;D;20190220;000000;54.95;57.9;54.4;54.85;70860;0
ОР ао;D;20190221;000000;55;55;54.65;54.95;1130;0
ОР ао;D;20190222;000000;54.7;55;54.1;54.45;12720;0
ОР ао;D;20190225;000000;54.45;54.7;54.05;54.55;30930;0
ОР ао;D;20190226;000000;54.5;55;54.5;54.6;8290;0
ОР ао;D;20190227;000000;54.95;55.5;54.2;54.9;31080;0
ОР ао;D;20190228;000000;54.45;55;54.05;55;4380;0
ОР ао;D;20190301;000000;55.1;55.1;53.85;54.9;32200;0
ОР ао;D;20190304;000000;55;55.1;54.2;54.9;36560;0
ОР ао;D;20190305;000000;55;55;54.15;54.4;15630;0
ОР ао;D;20190306;000000;54.45;54.9;54.4;54.6;5640;0
ОР ао;D;20190307;000000;54.65;55.05;54;54.5;45760;0
ОР ао;D;20190311;000000;54.6;54.95;53.9;54.5;12900;0
ОР ао;D;20190312;000000;54.3;54.6;53.8;54.3;12740;0
ОР ао;D;20190313;000000;53.75;55;53.75;53.85;17960;0
ОР ао;D;20190314;000000;54.5;54.6;53.75;54.25;20430;0
ОР ао;D;20190315;000000;54.55;54.55;53;53.2;23050;0
ОР ао;D;20190318;000000;54;55;53.4;53.75;60050;0
ОР ао;D;20190319;000000;53.75;54.95;53.15;53.75;69810;0
ОР ао;D;20190320;000000;53.4;53.7;53.1;53.45;11750;0
ОР ао;D;20190321;000000;53.1;54;53.05;53.9;16840;0
ОР ао;D;20190322;000000;53.9;54.05;52.6;53.55;14930;0
ОР ао;D;20190325;000000;53.45;53.95;52.85;53.45;8930;0
ОР ао;D;20190326;000000;53.3;53.9;52.6;53.35;21670;0
ОР ао;D;20190327;000000;53.1;53.1;52.2;52.5;24050;0
ОР ао;D;20190328;000000;52.7;52.8;52.55;52.8;9950;0
ОР ао;D;20190329;000000;52.55;52.8;52.1;52.75;2200;0
ОР ао;D;20190401;000000;52.75;57.65;52.75;52.8;166890;0
ОР ао;D;20190402;000000;52.8;52.8;51.05;51.55;127250;0
ОР ао;D;20190403;000000;51.95;53;51.95;52.5;179270;0
ОР ао;D;20190404;000000;52.5;53;50.5;52.25;254530;0
ОР ао;D;20190405;000000;52.25;52.5;51;51.5;47360;0
ОР ао;D;20190408;000000;51.45;51.65;48.2;49.45;92080;0
ОР ао;D;20190409;000000;49.1;49.4;48.25;48.85;27100;0
ОР ао;D;20190410;000000;48.75;49.4;48.5;48.9;91100;0
ОР ао;D;20190411;000000;48.95;48.95;48;48.05;63620;0
ОР ао;D;20190412;000000;48;48;47.2;47.95;20390;0
ОР ао;D;20190415;000000;47.95;48;47.5;48;15970;0
ОР ао;D;20190416;000000;48;48;47.6;48;42480;0
ОР ао;D;20190417;000000;47.6;48;47.55;47.85;15780;0
ОР ао;D;20190418;000000;47.95;48;47.65;47.95;19170;0
ОР ао;D;20190419;000000;47.75;49.35;47.75;48.9;10940;0
ОР ао;D;20190422;000000;49.8;49.8;48.3;48.65;81870;0
ОР ао;D;20190423;000000;48.5;48.55;47.35;47.95;83330;0
ОР ао;D;20190424;000000;47.65;47.95;47.3;47.85;46930;0
ОР ао;D;20190425;000000;47.6;47.95;47.2;47.65;12030;0
ОР ао;D;20190426;000000;47.6;47.6;46.8;46.95;18750;0
ОР ао;D;20190429;000000;47;47;46.05;46.65;18030;0
ОР ао;D;20190430;000000;47;47;46.05;46.45;100430;0
ОР ао;D;20190502;000000;46.85;46.9;45.65;46.65;25870;0
