<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Магнит ао;D;20150416;000000;11903;11941;11600;11600;109652;0
Магнит ао;D;20150417;000000;11620;11750;11401;11520;107794;0
Магнит ао;D;20150420;000000;11550;11792;11429;11664;102629;0
Магнит ао;D;20150421;000000;11952;12260;11717;12207;181243;0
Магнит ао;D;20150422;000000;12250;12340;11942;12135;193559;0
Магнит ао;D;20150423;000000;12504;12504;11575;11900;147007;0
Магнит ао;D;20150424;000000;11540;12050;11540;11824;82688;0
Магнит ао;D;20150427;000000;11840;11989;11327;11577;99755;0
Магнит ао;D;20150428;000000;11503;11683;11350;11350;97354;0
Магнит ао;D;20150429;000000;11265;11560;11265;11458;75585;0
Магнит ао;D;20150430;000000;11450;11590;11250;11280;166963;0
Магнит ао;D;20150505;000000;11312;11387;10971;11038;186130;0
Магнит ао;D;20150506;000000;11044;11288;10896;11083;79328;0
Магнит ао;D;20150507;000000;11082;11165;10803;11090;124335;0
Магнит ао;D;20150508;000000;11100;11475;11075;11295;99751;0
Магнит ао;D;20150512;000000;11302;11354;11120;11220;105105;0
Магнит ао;D;20150513;000000;11253;11265;11055;11100;69996;0
Магнит ао;D;20150514;000000;11110;11457;11040;11240;72367;0
Магнит ао;D;20150515;000000;10849;11460;10849;11372;92302;0
Магнит ао;D;20150518;000000;11376;11400;10990;11042;101698;0
Магнит ао;D;20150519;000000;11085;11175;10851;10986;70604;0
Магнит ао;D;20150520;000000;11000;11000;10707;10940;38070;0
Магнит ао;D;20150521;000000;10900;11084;10691;11035;63428;0
Магнит ао;D;20150522;000000;11006;11116;10850;11020;41533;0
Магнит ао;D;20150525;000000;11020;11020;10763;10910;54026;0
Магнит ао;D;20150526;000000;11188;11188;10770;10813;54519;0
Магнит ао;D;20150527;000000;10823;10837;10552;10653;64747;0
Магнит ао;D;20150528;000000;10655;10790;10606;10655;42459;0
Магнит ао;D;20150529;000000;10695;10943;10510;10510;114596;0
Магнит ао;D;20150601;000000;10580;10780;10456;10456;67218;0
Магнит ао;D;20150602;000000;10525;10943;10428;10892;85847;0
Магнит ао;D;20150603;000000;10910;10978;10510;10765;109897;0
Магнит ао;D;20150604;000000;10780;10885;10600;10750;104214;0
Магнит ао;D;20150605;000000;10780;10897;10638;10685;90875;0
Магнит ао;D;20150608;000000;10690;10875;10560;10654;73743;0
Магнит ао;D;20150609;000000;10688;11080;10619;11005;86886;0
Магнит ао;D;20150610;000000;11035;11100;10894;10895;69077;0
Магнит ао;D;20150611;000000;11030;11130;10755;11130;179516;0
Магнит ао;D;20150615;000000;11111;11243;10895;11236;125609;0
Магнит ао;D;20150616;000000;11240;11566;11118;11556;114534;0
Магнит ао;D;20150617;000000;11500;11780;11480;11520;142641;0
Магнит ао;D;20150618;000000;11450;11543;11390;11440;130839;0
Магнит ао;D;20150619;000000;11487;11488;11221;11385;75585;0
Магнит ао;D;20150622;000000;11345;11416;11224;11287;61082;0
Магнит ао;D;20150623;000000;11340;11376;11255;11266;68159;0
Магнит ао;D;20150624;000000;11310;11370;11210;11261;98700;0
Магнит ао;D;20150625;000000;11270;11345;11220;11220;77593;0
Магнит ао;D;20150626;000000;11225;11739;11225;11680;166714;0
Магнит ао;D;20150629;000000;11624;11649;11260;11268;97542;0
Магнит ао;D;20150630;000000;11287;11481;11220;11399;124580;0
Магнит ао;D;20150701;000000;11377;11545;11377;11465;90640;0
Магнит ао;D;20150702;000000;11417;11516;11295;11420;66894;0
Магнит ао;D;20150703;000000;11437;11437;11287;11331;28538;0
Магнит ао;D;20150706;000000;11280;11421;11224;11401;64399;0
Магнит ао;D;20150707;000000;11401;11480;11074;11099;103131;0
Магнит ао;D;20150708;000000;11090;11162;10590;10902;124048;0
Магнит ао;D;20150709;000000;10997;11076;10765;11055;96506;0
Магнит ао;D;20150710;000000;11092;11405;11023;11399;137648;0
Магнит ао;D;20150713;000000;11341;11697;11341;11649;167928;0
Магнит ао;D;20150714;000000;11630;11670;11538;11669;143915;0
Магнит ао;D;20150715;000000;11685;11698;11601;11660;91704;0
Магнит ао;D;20150716;000000;11651;11786;11630;11769;81992;0
Магнит ао;D;20150717;000000;11780;11850;11660;11750;87255;0
Магнит ао;D;20150720;000000;11761;11780;11510;11510;103744;0
Магнит ао;D;20150721;000000;11550;11747;11440;11735;80498;0
Магнит ао;D;20150722;000000;11711;12196;11628;12177;226700;0
Магнит ао;D;20150723;000000;12170;12280;11850;11885;169529;0
Магнит ао;D;20150724;000000;11887;11945;11650;11650;73709;0
Магнит ао;D;20150727;000000;11671;11870;11586;11750;109841;0
Магнит ао;D;20150728;000000;11750;11755;11561;11671;106196;0
Магнит ао;D;20150729;000000;11850;11850;11651;11800;82307;0
Магнит ао;D;20150730;000000;11752;12070;11752;12040;105080;0
Магнит ао;D;20150731;000000;12025;12217;11975;12200;133480;0
Магнит ао;D;20150803;000000;12164;12322;12065;12268;95614;0
Магнит ао;D;20150804;000000;12235;12480;12235;12441;72775;0
Магнит ао;D;20150805;000000;12479;12944;12390;12818;238626;0
Магнит ао;D;20150806;000000;12830;12889;12303;12309;184588;0
Магнит ао;D;20150807;000000;12360;12628;12216;12396;146009;0
Магнит ао;D;20150810;000000;12420;12471;12144;12412;83640;0
Магнит ао;D;20150811;000000;12435;12587;12310;12320;123370;0
Магнит ао;D;20150812;000000;12271;12350;12080;12149;126901;0
Магнит ао;D;20150813;000000;12199;12289;12030;12177;110338;0
Магнит ао;D;20150814;000000;12199;12425;12061;12147;112181;0
Магнит ао;D;20150817;000000;12122;12179;11991;12162;95355;0
Магнит ао;D;20150818;000000;12141;12205;12035;12090;50081;0
Магнит ао;D;20150819;000000;12123;12245;11962;12050;98887;0
Магнит ао;D;20150820;000000;12050;12149;11968;12105;83182;0
Магнит ао;D;20150821;000000;12100;12131;11833;11860;112156;0
Магнит ао;D;20150824;000000;11700;11897;11460;11603;239337;0
Магнит ао;D;20150825;000000;11700;12070;11660;11829;123841;0
Магнит ао;D;20150826;000000;11840;11893;11532;11631;110692;0
Магнит ао;D;20150827;000000;11720;11946;11650;11910;114241;0
Магнит ао;D;20150828;000000;11990;12190;11853;12171;118746;0
Магнит ао;D;20150831;000000;12189;12327;12079;12275;68298;0
Магнит ао;D;20150901;000000;12241;12300;11861;11924;128578;0
Магнит ао;D;20150902;000000;11850;12128;11795;11845;114649;0
Магнит ао;D;20150903;000000;11929;12020;11802;11935;97756;0
Магнит ао;D;20150904;000000;11950;12116;11900;11988;75718;0
Магнит ао;D;20150907;000000;12012;12146;11953;12074;89213;0
Магнит ао;D;20150908;000000;12105;12254;11989;11996;99416;0
Магнит ао;D;20150909;000000;12036;12092;11750;11763;154406;0
Магнит ао;D;20150910;000000;11747;11838;11330;11420;187112;0
Магнит ао;D;20150911;000000;11390;11550;11300;11405;136011;0
Магнит ао;D;20150914;000000;11453;11500;11306;11313;95447;0
Магнит ао;D;20150915;000000;11320;11393;11231;11325;81258;0
Магнит ао;D;20150916;000000;11340;11720;11330;11583;214861;0
Магнит ао;D;20150917;000000;11594;11705;11470;11650;85300;0
Магнит ао;D;20150918;000000;11671;11805;11507;11543;120702;0
Магнит ао;D;20150921;000000;11555;11636;11462;11462;37703;0
Магнит ао;D;20150922;000000;11475;11486;11172;11360;110713;0
Магнит ао;D;20150923;000000;11369;11507;11255;11377;88117;0
Магнит ао;D;20150924;000000;11408;11526;11301;11387;60804;0
Магнит ао;D;20150925;000000;11450;11817;11450;11815;82043;0
Магнит ао;D;20150928;000000;11820;11849;11530;11566;73871;0
Магнит ао;D;20150929;000000;11523;11795;11518;11705;62405;0
Магнит ао;D;20150930;000000;11671;11856;11600;11600;103153;0
Магнит ао;D;20151001;000000;11666;11855;11580;11769;84681;0
Магнит ао;D;20151002;000000;11803;11819;11505;11581;83259;0
Магнит ао;D;20151005;000000;11650;11750;11506;11725;105031;0
Магнит ао;D;20151006;000000;11712;11830;11637;11797;95168;0
Магнит ао;D;20151007;000000;11802;11835;11611;11763;128284;0
Магнит ао;D;20151008;000000;11698;11729;11591;11696;110448;0
Магнит ао;D;20151009;000000;11721;11767;11583;11730;199479;0
Магнит ао;D;20151012;000000;11730;11835;11621;11667;117523;0
Магнит ао;D;20151013;000000;11695;11829;11584;11780;99635;0
Магнит ао;D;20151014;000000;11770;11920;11708;11810;135228;0
Магнит ао;D;20151015;000000;11820;12217;11820;12059;165620;0
Магнит ао;D;20151016;000000;12143;12169;11680;11707;157334;0
Магнит ао;D;20151019;000000;11766;11950;11640;11665;108458;0
Магнит ао;D;20151020;000000;11665;11816;11611;11810;93275;0
Магнит ао;D;20151021;000000;11800;11850;11734;11800;124632;0
Магнит ао;D;20151022;000000;11775;11880;11737;11772;86490;0
Магнит ао;D;20151023;000000;11820;11999;11464;11500;184459;0
Магнит ао;D;20151026;000000;11501;11547;10805;10809;233127;0
Магнит ао;D;20151027;000000;10850;11370;10563;11359;267308;0
Магнит ао;D;20151028;000000;11375;11499;11175;11491;219402;0
Магнит ао;D;20151029;000000;11491;11499;11111;11216;143813;0
Магнит ао;D;20151030;000000;11216;11300;11011;11136;84640;0
Магнит ао;D;20151102;000000;11117;11355;11023;11111;83502;0
Магнит ао;D;20151103;000000;11142;11499;11117;11425;130082;0
Магнит ао;D;20151105;000000;11499;11711;11399;11468;146064;0
Магнит ао;D;20151106;000000;11499;11529;11350;11496;123561;0
Магнит ао;D;20151109;000000;11498;11537;11440;11520;50622;0
Магнит ао;D;20151110;000000;11543;11543;11361;11393;78229;0
Магнит ао;D;20151111;000000;11445;11495;11250;11255;87824;0
Магнит ао;D;20151112;000000;11279;11300;11125;11125;122445;0
Магнит ао;D;20151113;000000;11125;11283;10967;11192;203554;0
Магнит ао;D;20151116;000000;11214;11350;11150;11290;114477;0
Магнит ао;D;20151117;000000;11362;11485;11283;11390;165432;0
Магнит ао;D;20151118;000000;11445;11549;11270;11359;128542;0
Магнит ао;D;20151119;000000;11400;11580;11310;11427;208306;0
Магнит ао;D;20151120;000000;11425;11901;11344;11819;220780;0
Магнит ао;D;20151123;000000;11888;12325;11750;12250;273296;0
Магнит ао;D;20151124;000000;12325;12325;11864;11900;256409;0
Магнит ао;D;20151125;000000;12039;12200;11900;12022;157002;0
Магнит ао;D;20151126;000000;12056;12250;12031;12130;97200;0
Магнит ао;D;20151127;000000;12148;12180;11955;12013;140448;0
Магнит ао;D;20151130;000000;12025;12147;11863;12005;139989;0
Магнит ао;D;20151201;000000;12027;12100;11897;11901;88649;0
Магнит ао;D;20151202;000000;11949;12199;11926;12199;144014;0
Магнит ао;D;20151203;000000;12171;12307;12077;12270;172485;0
Магнит ао;D;20151204;000000;12310;12371;11649;11799;203626;0
Магнит ао;D;20151207;000000;11800;11875;11654;11728;88355;0
Магнит ао;D;20151208;000000;11703;11736;11501;11590;200978;0
Магнит ао;D;20151209;000000;11600;11603;11100;11180;275891;0
Магнит ао;D;20151210;000000;11225;11230;11040;11141;159934;0
Магнит ао;D;20151211;000000;11102;11189;10936;11039;159133;0
Магнит ао;D;20151214;000000;11049;11125;10927;11030;147507;0
Магнит ао;D;20151215;000000;11050;11394;11020;11340;165277;0
Магнит ао;D;20151216;000000;11350;11447;11308;11361;73213;0
Магнит ао;D;20151217;000000;11400;11446;11210;11211;140645;0
Магнит ао;D;20151218;000000;11197;11197;10555;10656;307345;0
Магнит ао;D;20151221;000000;10659;10849;10576;10790;117563;0
Магнит ао;D;20151222;000000;10800;10849;10758;10780;62600;0
Магнит ао;D;20151223;000000;10790;10928;10772;10850;101288;0
Магнит ао;D;20151224;000000;10856;10877;10657;10761;39900;0
Магнит ао;D;20151225;000000;10800;10848;10700;10732;19558;0
Магнит ао;D;20151228;000000;10793;10793;10650;10743;36283;0
Магнит ао;D;20151229;000000;10740;10972;10700;10972;87753;0
