<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РусАква ао;D;20170822;000000;154;160.5;154;160.5;800;0
РусАква ао;D;20170824;000000;160;167.5;160;165.5;500;0
РусАква ао;D;20170825;000000;172;175;152.5;155.5;700;0
РусАква ао;D;20170828;000000;153.5;153.5;153.5;153.5;100;0
РусАква ао;D;20170829;000000;162;163;161.5;163;5200;0
РусАква ао;D;20170830;000000;176;176;168;171.5;1000;0
РусАква ао;D;20170831;000000;174;174.5;174;174.5;1700;0
РусАква ао;D;20170901;000000;179.5;179.5;163.5;172;400;0
РусАква ао;D;20170904;000000;155.5;165;150;165;2300;0
РусАква ао;D;20170905;000000;160;161;155.5;161;400;0
РусАква ао;D;20170906;000000;161.5;163.5;161.5;163.5;300;0
РусАква ао;D;20170907;000000;170;172.5;163.5;168.5;400;0
РусАква ао;D;20170908;000000;168;186.5;167.5;185.5;4600;0
РусАква ао;D;20170911;000000;196.5;196.5;176;186;600;0
РусАква ао;D;20170912;000000;185.5;186;179;179;900;0
РусАква ао;D;20170913;000000;186;214;180;201;11100;0
РусАква ао;D;20170914;000000;199;200;178;178;25100;0
РусАква ао;D;20170915;000000;177.5;180;150;163;15100;0
РусАква ао;D;20170918;000000;170;177.5;168;168.5;700;0
РусАква ао;D;20170919;000000;173.5;184.5;172.5;180;4700;0
РусАква ао;D;20170920;000000;188;190;178.5;186;2900;0
РусАква ао;D;20170921;000000;195;195;181.5;186;600;0
РусАква ао;D;20170922;000000;190;190;180;180;2600;0
РусАква ао;D;20170925;000000;173;185.5;170;185;1900;0
РусАква ао;D;20170926;000000;174.5;189.5;174.5;185.5;400;0
РусАква ао;D;20170927;000000;184;185.5;181;184.5;700;0
РусАква ао;D;20170929;000000;185.5;185.5;185;185;1100;0
РусАква ао;D;20171002;000000;189.5;190;185;185;1000;0
РусАква ао;D;20171003;000000;185.5;199;185;194;2300;0
РусАква ао;D;20171004;000000;192;200;192;200;3900;0
РусАква ао;D;20171005;000000;218.5;218.5;192;200;2000;0
РусАква ао;D;20171009;000000;199;200;199;200;400;0
РусАква ао;D;20171010;000000;200;200;200;200;200;0
РусАква ао;D;20171011;000000;196.5;199;195;195;3400;0
РусАква ао;D;20171012;000000;196;200;195;195;5500;0
РусАква ао;D;20171013;000000;199;200;199;200;300;0
РусАква ао;D;20171016;000000;200;200;195;195;3300;0
РусАква ао;D;20171017;000000;195;195;195;195;400;0
РусАква ао;D;20171019;000000;195;195;195;195;500;0
РусАква ао;D;20171020;000000;195.5;195.5;194.5;194.5;5100;0
РусАква ао;D;20171023;000000;185.5;193.5;175;193.5;600;0
РусАква ао;D;20171024;000000;182.5;182.5;181;182;700;0
РусАква ао;D;20171025;000000;171;182;165;182;1800;0
РусАква ао;D;20171026;000000;168.5;171;165;171;1100;0
РусАква ао;D;20171027;000000;165.5;174.5;162.5;170.5;1800;0
РусАква ао;D;20171030;000000;167;169;158.5;164.5;2900;0
РусАква ао;D;20171031;000000;166.5;167.5;165;165.5;600;0
РусАква ао;D;20171101;000000;165.5;169;165;165;500;0
РусАква ао;D;20171102;000000;161.5;164.5;159;164.5;600;0
РусАква ао;D;20171103;000000;165.5;167.5;165.5;167.5;300;0
РусАква ао;D;20171107;000000;167.5;168.5;167.5;168;600;0
РусАква ао;D;20171108;000000;173;173;168;169;300;0
РусАква ао;D;20171109;000000;164.5;172.5;164.5;172.5;300;0
РусАква ао;D;20171110;000000;165;173.5;165;171.5;800;0
РусАква ао;D;20171113;000000;177;184;177;184;1700;0
РусАква ао;D;20171114;000000;185;195;162.5;164;6800;0
РусАква ао;D;20171115;000000;162;162;142;150;4300;0
РусАква ао;D;20171116;000000;146.5;150;145;150;900;0
РусАква ао;D;20171117;000000;150;152;150;152;200;0
РусАква ао;D;20171120;000000;152;152;152;152;100;0
РусАква ао;D;20171121;000000;150.5;152;150;152;900;0
РусАква ао;D;20171122;000000;145.5;148.5;143.5;148;1300;0
РусАква ао;D;20171124;000000;141;146;139;144;1800;0
РусАква ао;D;20171127;000000;144.5;144.5;137;140;1900;0
РусАква ао;D;20171128;000000;143.5;143.5;140;140.5;400;0
РусАква ао;D;20171129;000000;134.5;140;134.5;138.5;300;0
РусАква ао;D;20171130;000000;132;138;132;134;400;0
РусАква ао;D;20171201;000000;123.5;135.5;123.5;133;700;0
РусАква ао;D;20171204;000000;131.5;131.5;126;128.5;1100;0
РусАква ао;D;20171205;000000;123.5;126;120.5;124;1900;0
РусАква ао;D;20171206;000000;121.5;126;120.5;126;900;0
РусАква ао;D;20171207;000000;126.5;130;126;128;700;0
РусАква ао;D;20171211;000000;133;133.5;131.5;133.5;700;0
РусАква ао;D;20171212;000000;124.5;159;124.5;142;11500;0
РусАква ао;D;20171213;000000;146.5;150;145.5;145.5;6300;0
РусАква ао;D;20171214;000000;133.5;140;132;140;3200;0
РусАква ао;D;20171215;000000;133.5;143;129;140.5;4300;0
РусАква ао;D;20171218;000000;138;138;138;138;200;0
РусАква ао;D;20171219;000000;134;134;132.5;133;800;0
РусАква ао;D;20171220;000000;134;134;134;134;100;0
РусАква ао;D;20171221;000000;126.5;133.5;126.5;133.5;700;0
РусАква ао;D;20171225;000000;129;133.5;129;133.5;300;0
РусАква ао;D;20171226;000000;134;134;134;134;200;0
РусАква ао;D;20171227;000000;128;134;128;130.5;1100;0
РусАква ао;D;20171228;000000;127.5;132;125.5;132;3200;0
РусАква ао;D;20171229;000000;131.5;157;127.5;157;6500;0
РусАква ао;D;20180103;000000;143;156;135;140.5;1400;0
РусАква ао;D;20180104;000000;145;153;143;152;1400;0
РусАква ао;D;20180105;000000;159;159;150.5;155;1800;0
РусАква ао;D;20180109;000000;158.5;166;149;162;5000;0
РусАква ао;D;20180110;000000;161.5;169;159;160;1900;0
РусАква ао;D;20180111;000000;159;162;155;162;1300;0
РусАква ао;D;20180112;000000;162;174;154.5;162.5;3000;0
РусАква ао;D;20180115;000000;160.5;169;160.5;169;1100;0
РусАква ао;D;20180116;000000;174;175;159;165;2700;0
РусАква ао;D;20180117;000000;162;165;162;165;800;0
РусАква ао;D;20180118;000000;162;173;162;167.5;1600;0
РусАква ао;D;20180119;000000;162;167.5;162;167.5;2300;0
РусАква ао;D;20180122;000000;165;173;165;166;4100;0
РусАква ао;D;20180123;000000;165;168;165;168;900;0
РусАква ао;D;20180124;000000;166;166;161;166;2800;0
РусАква ао;D;20180125;000000;166;166;155.5;158;1200;0
РусАква ао;D;20180126;000000;162;165;162;165;700;0
РусАква ао;D;20180129;000000;166;166;162.5;166;1000;0
РусАква ао;D;20180130;000000;165.5;166;159;164.5;1700;0
РусАква ао;D;20180131;000000;165.5;166;160;160;4400;0
РусАква ао;D;20180201;000000;164.5;166;160;163.5;2200;0
РусАква ао;D;20180202;000000;161;165;158.5;164.5;1700;0
РусАква ао;D;20180205;000000;161;165;159.5;165;900;0
РусАква ао;D;20180206;000000;161.5;165;156;164.5;1300;0
РусАква ао;D;20180207;000000;162;166;162;166;1300;0
РусАква ао;D;20180208;000000;163;163;153.5;162;3800;0
РусАква ао;D;20180209;000000;162.5;162.5;162;162;200;0
РусАква ао;D;20180212;000000;160;165;155;164.5;3200;0
РусАква ао;D;20180213;000000;160;166;157;161;3400;0
РусАква ао;D;20180214;000000;160.5;164;160.5;164;1400;0
РусАква ао;D;20180215;000000;163;171;163;164.5;1100;0
РусАква ао;D;20180216;000000;171.5;171.5;171.5;171.5;100;0
РусАква ао;D;20180219;000000;165;175;164.5;172;1600;0
РусАква ао;D;20180220;000000;165;175;165;168;1500;0
РусАква ао;D;20180221;000000;172.5;173.5;167.5;168.5;1900;0
РусАква ао;D;20180222;000000;169.5;170;168.5;170;700;0
РусАква ао;D;20180226;000000;169.5;175;169;175;700;0
РусАква ао;D;20180227;000000;170;177;170;177;1500;0
РусАква ао;D;20180228;000000;170.5;180;170.5;177.5;1000;0
РусАква ао;D;20180301;000000;179.5;190;179.5;189;3200;0
РусАква ао;D;20180302;000000;185.5;189;185.5;189;400;0
РусАква ао;D;20180305;000000;212;212;180.5;189;1600;0
РусАква ао;D;20180306;000000;199;199;198;199;400;0
РусАква ао;D;20180307;000000;196;196;196;196;100;0
РусАква ао;D;20180309;000000;194;194;194;194;100;0
РусАква ао;D;20180312;000000;217.5;218;199;199;300;0
РусАква ао;D;20180313;000000;200;200;181;188.5;3100;0
РусАква ао;D;20180314;000000;191.5;200;191.5;199;700;0
РусАква ао;D;20180315;000000;184;199;184;199;300;0
РусАква ао;D;20180316;000000;198.5;198.5;198.5;198.5;100;0
РусАква ао;D;20180319;000000;183;188;183;188;300;0
РусАква ао;D;20180320;000000;185;185;185;185;100;0
РусАква ао;D;20180321;000000;181.5;185;181.5;185;400;0
РусАква ао;D;20180322;000000;187.5;200;187.5;188.5;1600;0
РусАква ао;D;20180323;000000;169;191.5;169;182;300;0
РусАква ао;D;20180326;000000;175.5;175.5;162;169.5;3800;0
РусАква ао;D;20180327;000000;171.5;171.5;165;170.5;500;0
РусАква ао;D;20180328;000000;172.5;176;147;152;8600;0
РусАква ао;D;20180329;000000;152;155.5;143.5;153.5;900;0
РусАква ао;D;20180330;000000;151;154;151;154;600;0
РусАква ао;D;20180402;000000;153.5;156;153.5;156;800;0
РусАква ао;D;20180403;000000;159;159;138;142.5;5800;0
РусАква ао;D;20180404;000000;140.5;153;138;142.5;6500;0
РусАква ао;D;20180405;000000;141;141;133.5;140;4400;0
РусАква ао;D;20180406;000000;150;195;134;149.5;8000;0
РусАква ао;D;20180409;000000;144.5;144.5;109;139.5;2400;0
РусАква ао;D;20180410;000000;140.5;140.5;125.5;139;3300;0
РусАква ао;D;20180411;000000;147;147;138;138;800;0
РусАква ао;D;20180412;000000;147;166;139;140;6200;0
РусАква ао;D;20180413;000000;144;145;142;144;800;0
РусАква ао;D;20180416;000000;144.5;148.5;140;140;900;0
РусАква ао;D;20180417;000000;144;144;138.5;139;500;0
РусАква ао;D;20180418;000000;138.5;138.5;138;138;400;0
РусАква ао;D;20180419;000000;137;138;137;138;200;0
РусАква ао;D;20180420;000000;133;136;133;136;300;0
РусАква ао;D;20180423;000000;139;142.5;139;142.5;500;0
РусАква ао;D;20180424;000000;142.5;176;142.5;165;8700;0
РусАква ао;D;20180425;000000;171;174;163;173.5;2300;0
РусАква ао;D;20180426;000000;173.5;199;173.5;187.5;6500;0
РусАква ао;D;20180427;000000;187.5;205;179;203;10400;0
РусАква ао;D;20180428;000000;203;209;186;202;11700;0
РусАква ао;D;20180430;000000;191;195;186.5;187;500;0
РусАква ао;D;20180502;000000;194;203.5;194;199;700;0
РусАква ао;D;20180503;000000;200;259;195;205;26100;0
РусАква ао;D;20180504;000000;209;220;195.5;204.5;11200;0
РусАква ао;D;20180507;000000;219;227;200.5;220;3100;0
РусАква ао;D;20180508;000000;213.5;225;200.5;219;7400;0
РусАква ао;D;20180510;000000;208.5;216.5;205;215;2500;0
РусАква ао;D;20180511;000000;212.5;220;197.5;199.5;5400;0
РусАква ао;D;20180514;000000;209;225;198;198;6200;0
РусАква ао;D;20180515;000000;199.5;200;196;196;1000;0
РусАква ао;D;20180516;000000;192;200;192;199.5;1300;0
РусАква ао;D;20180517;000000;218;224.5;195;200;3900;0
РусАква ао;D;20180518;000000;208.5;218;196;199.5;1300;0
РусАква ао;D;20180521;000000;200;200;200;200;2800;0
РусАква ао;D;20180522;000000;210;211.5;199;199.5;1400;0
РусАква ао;D;20180523;000000;201.5;205;200;205;3800;0
РусАква ао;D;20180524;000000;200;205;200;205;1600;0
РусАква ао;D;20180525;000000;204.5;205;192.5;200;2100;0
РусАква ао;D;20180528;000000;200;204.5;199.5;199.5;1400;0
РусАква ао;D;20180529;000000;200;200;182.5;185;2100;0
РусАква ао;D;20180530;000000;198.5;205;190;200;1600;0
РусАква ао;D;20180531;000000;203.5;204;190;203.5;4100;0
РусАква ао;D;20180601;000000;204.5;205;203.5;204;1600;0
РусАква ао;D;20180604;000000;202;204;195.5;200;1800;0
РусАква ао;D;20180605;000000;203.5;204;200.5;204;2700;0
РусАква ао;D;20180606;000000;204;220;199.5;200;9500;0
РусАква ао;D;20180607;000000;200;200;190;200;3100;0
РусАква ао;D;20180608;000000;199.5;209.5;199.5;200;2900;0
РусАква ао;D;20180609;000000;200.5;200.5;199;199;1300;0
РусАква ао;D;20180611;000000;203;219.5;200;200;1100;0
РусАква ао;D;20180613;000000;191.5;200;191.5;200;3100;0
РусАква ао;D;20180614;000000;204.5;219.5;199.5;200;2300;0
РусАква ао;D;20180615;000000;193;203;193;203;2100;0
РусАква ао;D;20180618;000000;203;203;191.5;202.5;2800;0
РусАква ао;D;20180619;000000;196.5;202;196.5;202;1200;0
РусАква ао;D;20180620;000000;196.5;202;196.5;201;1000;0
РусАква ао;D;20180621;000000;200;200;180;197;3100;0
РусАква ао;D;20180622;000000;197;199;197;197.5;500;0
РусАква ао;D;20180625;000000;194.5;203;194.5;200;3400;0
РусАква ао;D;20180626;000000;200;200;199.5;199.5;1700;0
РусАква ао;D;20180627;000000;200;200;199.5;200;2700;0
РусАква ао;D;20180628;000000;200;200;200;200;1200;0
РусАква ао;D;20180629;000000;200;200;200;200;2900;0
РусАква ао;D;20180702;000000;199;199;199;199;2700;0
РусАква ао;D;20180703;000000;199;199;184;184;3100;0
РусАква ао;D;20180705;000000;198.5;199;198.5;199;2400;0
РусАква ао;D;20180706;000000;192;199;185;199;4000;0
РусАква ао;D;20180709;000000;203;203;199;199;400;0
РусАква ао;D;20180711;000000;184.5;190;184.5;190;400;0
РусАква ао;D;20180712;000000;187;187;187;187;100;0
РусАква ао;D;20180713;000000;183.5;195.5;183.5;195.5;200;0
РусАква ао;D;20180716;000000;185.5;185.5;185.5;185.5;200;0
РусАква ао;D;20180717;000000;192.5;192.5;191;191;400;0
РусАква ао;D;20180719;000000;181.5;181.5;175;178.5;3600;0
РусАква ао;D;20180720;000000;177;177;172;175;1600;0
РусАква ао;D;20180723;000000;175;175;165;165;3200;0
РусАква ао;D;20180724;000000;160.5;165;160;165;5100;0
РусАква ао;D;20180725;000000;155.5;160;155.5;160;200;0
РусАква ао;D;20180727;000000;151.5;169;151.5;160;400;0
РусАква ао;D;20180730;000000;169;169;155;155;900;0
РусАква ао;D;20180731;000000;158.5;158.5;158.5;158.5;100;0
РусАква ао;D;20180801;000000;166.5;166.5;153;159;1100;0
РусАква ао;D;20180803;000000;150.5;158.5;150.5;158.5;700;0
