<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Лента др;D;20180827;000000;286;295;286;294;15429;0
Лента др;D;20180828;000000;296;296.5;285.5;288;58131;0
Лента др;D;20180829;000000;288.5;295;285;288;126097;0
Лента др;D;20180830;000000;290;290;284;286.5;32672;0
Лента др;D;20180831;000000;288.5;293;282.5;287;82632;0
Лента др;D;20180903;000000;287;291.5;284.5;288;17071;0
Лента др;D;20180904;000000;288;291;284;286;67433;0
Лента др;D;20180905;000000;288;288;280;282.5;64523;0
Лента др;D;20180906;000000;284.5;284.5;274;276.5;94145;0
Лента др;D;20180907;000000;276.5;276.5;263;270;100166;0
Лента др;D;20180910;000000;266;276;265.5;270.5;60583;0
Лента др;D;20180911;000000;270;270.5;259;261.5;74682;0
Лента др;D;20180912;000000;263;265.5;259;262.5;37480;0
Лента др;D;20180913;000000;259.5;266;258;259;88480;0
Лента др;D;20180914;000000;259;268;257;258.5;89892;0
Лента др;D;20180917;000000;260;261;254.5;258.5;126095;0
Лента др;D;20180918;000000;256;264;255.5;257.5;148149;0
Лента др;D;20180919;000000;259;263;257.5;263;134279;0
Лента др;D;20180920;000000;262.5;265.5;259.5;262.5;432566;0
Лента др;D;20180921;000000;263;264.5;254.5;259.5;284699;0
Лента др;D;20180924;000000;261.5;262;250;252;310885;0
Лента др;D;20180925;000000;253;255;251.5;254;154661;0
Лента др;D;20180926;000000;255;255;242.5;247.5;225954;0
Лента др;D;20180927;000000;249;249;238;240;174516;0
Лента др;D;20180928;000000;240;242;231.5;231.5;216198;0
Лента др;D;20181001;000000;236.5;238;233;235;299603;0
Лента др;D;20181002;000000;237.5;237.5;225;226.5;143034;0
Лента др;D;20181003;000000;227.5;232.5;226;232;97883;0
Лента др;D;20181004;000000;232.5;239;231;235;88480;0
Лента др;D;20181005;000000;234.5;235;228.5;233;191537;0
Лента др;D;20181008;000000;236;239;233.5;235.5;58685;0
Лента др;D;20181009;000000;237.5;239;231;231;69275;0
Лента др;D;20181010;000000;233;234;221;223.5;141363;0
Лента др;D;20181011;000000;222;229.5;214.5;227;257906;0
Лента др;D;20181012;000000;227;236;227;227.5;97219;0
Лента др;D;20181015;000000;227.5;233;223.5;226.5;70222;0
Лента др;D;20181016;000000;230;230.5;225.5;229;147217;0
Лента др;D;20181017;000000;230;236.5;228;234.5;100108;0
Лента др;D;20181018;000000;235;236.5;227;232.5;108310;0
Лента др;D;20181019;000000;233;233;228;228;106819;0
Лента др;D;20181022;000000;229.5;234;228;231;67556;0
Лента др;D;20181023;000000;229;232.5;227.5;230;39918;0
Лента др;D;20181024;000000;230.5;239.5;228.5;239;141443;0
Лента др;D;20181025;000000;237;244.5;234.5;242;119165;0
Лента др;D;20181026;000000;242;243;235;237.5;56957;0
Лента др;D;20181029;000000;236;253.5;236;250.5;314535;0
Лента др;D;20181030;000000;251;252;237;239.5;345446;0
Лента др;D;20181031;000000;240;245;233.5;237.5;187632;0
Лента др;D;20181101;000000;240;240.9;236.4;238.4;99452;0
Лента др;D;20181102;000000;238.8;243.1;237.3;241;91269;0
Лента др;D;20181106;000000;240.1;245.5;240.1;244;78229;0
Лента др;D;20181107;000000;243.9;246.8;241.1;244.8;74138;0
Лента др;D;20181108;000000;244.8;246.5;241;242.2;58440;0
Лента др;D;20181109;000000;241;242.6;231.1;234.8;171888;0
