<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
FIVE-гдр;D;20190109;000000;1822.5;1843.5;1777.5;1792;135981;0
FIVE-гдр;D;20190110;000000;1799.5;1800;1747;1759.5;114576;0
FIVE-гдр;D;20190111;000000;1768;1780.5;1743.5;1760;140800;0
FIVE-гдр;D;20190114;000000;1760;1765;1727.5;1765;73994;0
FIVE-гдр;D;20190115;000000;1765;1800;1757.5;1772.5;88708;0
FIVE-гдр;D;20190116;000000;1782.5;1790.5;1730;1759;69305;0
FIVE-гдр;D;20190117;000000;1759;1794;1690;1721.5;132470;0
FIVE-гдр;D;20190118;000000;1720.5;1795;1693;1783;161482;0
FIVE-гдр;D;20190121;000000;1783;1814;1768.5;1770;79402;0
FIVE-гдр;D;20190122;000000;1769;1829.5;1747;1822.5;123612;0
FIVE-гдр;D;20190123;000000;1823;1835.5;1798;1811;221714;0
FIVE-гдр;D;20190124;000000;1809;1861;1786;1834;169230;0
FIVE-гдр;D;20190125;000000;1842;1854;1789;1820.5;71336;0
FIVE-гдр;D;20190128;000000;1820;1820;1769;1785;66202;0
FIVE-гдр;D;20190129;000000;1776.5;1787;1755;1760;65983;0
FIVE-гдр;D;20190130;000000;1758;1776;1730;1740;139029;0
FIVE-гдр;D;20190131;000000;1749;1786;1702;1715.5;153016;0
FIVE-гдр;D;20190201;000000;1720;1752;1706;1748.5;81402;0
FIVE-гдр;D;20190204;000000;1755.5;1775;1721;1721;89848;0
FIVE-гдр;D;20190205;000000;1734;1766.5;1715;1760;72767;0
FIVE-гдр;D;20190206;000000;1760;1805;1738.5;1793;110895;0
FIVE-гдр;D;20190207;000000;1790.5;1812;1780;1801;65963;0
FIVE-гдр;D;20190208;000000;1800;1822;1793.5;1821.5;40685;0
FIVE-гдр;D;20190211;000000;1812.5;1825;1776;1792;50544;0
FIVE-гдр;D;20190212;000000;1785;1818;1775;1803.5;50663;0
FIVE-гдр;D;20190213;000000;1803.5;1803.5;1738.5;1759.5;117817;0
FIVE-гдр;D;20190214;000000;1741.5;1775;1732.5;1762.5;86230;0
FIVE-гдр;D;20190215;000000;1762.5;1800;1756;1800;94604;0
FIVE-гдр;D;20190218;000000;1795;1805;1778;1796;28638;0
FIVE-гдр;D;20190219;000000;1804;1804.5;1761;1773;54371;0
FIVE-гдр;D;20190220;000000;1784;1828.5;1783;1828.5;84866;0
FIVE-гдр;D;20190221;000000;1830;1833.5;1801;1817;87513;0
FIVE-гдр;D;20190222;000000;1815;1815;1790.5;1811.5;45583;0
FIVE-гдр;D;20190225;000000;1802;1808.5;1772.5;1781.5;72853;0
FIVE-гдр;D;20190226;000000;1775.5;1791;1730;1755.5;183209;0
FIVE-гдр;D;20190227;000000;1749;1749;1695;1704.5;112376;0
FIVE-гдр;D;20190228;000000;1704.5;1709;1660;1676.5;201432;0
FIVE-гдр;D;20190301;000000;1680;1680;1626;1663;156551;0
FIVE-гдр;D;20190304;000000;1652;1679.5;1649.5;1665;64144;0
FIVE-гдр;D;20190305;000000;1657.5;1664.5;1627.5;1636;48100;0
FIVE-гдр;D;20190306;000000;1630;1681;1630;1674;95267;0
FIVE-гдр;D;20190307;000000;1675;1688.5;1640;1644;48748;0
FIVE-гдр;D;20190311;000000;1644.5;1695.5;1644.5;1686.5;101565;0
FIVE-гдр;D;20190312;000000;1691;1714;1670.5;1698;70806;0
FIVE-гдр;D;20190313;000000;1706.5;1713;1643;1646.5;113496;0
FIVE-гдр;D;20190314;000000;1650;1662;1609.5;1616.5;127067;0
FIVE-гдр;D;20190315;000000;1624;1637.5;1591.5;1592.5;155570;0
FIVE-гдр;D;20190318;000000;1598.5;1645;1582.5;1635;156322;0
FIVE-гдр;D;20190319;000000;1639;1648;1605;1605;106597;0
FIVE-гдр;D;20190320;000000;1607;1635.5;1551.5;1607.5;317583;0
FIVE-гдр;D;20190321;000000;1605;1625;1589;1608;233681;0
FIVE-гдр;D;20190322;000000;1607;1607;1576.5;1604;116193;0
FIVE-гдр;D;20190325;000000;1600;1627;1575;1617.5;89645;0
FIVE-гдр;D;20190326;000000;1623;1686.5;1611;1681;144527;0
FIVE-гдр;D;20190327;000000;1688;1689.5;1632;1632;81313;0
FIVE-гдр;D;20190328;000000;1645;1657;1628;1637.5;71065;0
FIVE-гдр;D;20190329;000000;1638;1663;1627;1637;127273;0
FIVE-гдр;D;20190401;000000;1645.5;1678.5;1625;1654;67802;0
FIVE-гдр;D;20190402;000000;1665;1677.5;1643;1654;85084;0
FIVE-гдр;D;20190403;000000;1665;1689;1657.5;1657.5;78005;0
FIVE-гдр;D;20190404;000000;1669;1670;1639;1670;61285;0
FIVE-гдр;D;20190405;000000;1670;1670;1640.5;1659;43659;0
FIVE-гдр;D;20190408;000000;1645;1660;1629.5;1655.5;72770;0
FIVE-гдр;D;20190409;000000;1655;1664.5;1632;1664.5;94640;0
FIVE-гдр;D;20190410;000000;1669;1670;1636;1650;77071;0
FIVE-гдр;D;20190411;000000;1655;1655;1633;1633;53466;0
FIVE-гдр;D;20190412;000000;1642;1655;1625.5;1640.5;76410;0
FIVE-гдр;D;20190415;000000;1638;1644;1630;1633.5;36652;0
FIVE-гдр;D;20190416;000000;1634;1650;1626;1633;64529;0
FIVE-гдр;D;20190417;000000;1642;1728;1636;1728;152070;0
FIVE-гдр;D;20190418;000000;1730;1768;1694.5;1768;118868;0
FIVE-гдр;D;20190419;000000;1762;1780;1743.5;1762.5;27957;0
FIVE-гдр;D;20190422;000000;1763;1790;1755.5;1758.5;21516;0
FIVE-гдр;D;20190423;000000;1762.5;1835;1762;1804;112127;0
FIVE-гдр;D;20190424;000000;1806;1810;1777.5;1810;85680;0
FIVE-гдр;D;20190425;000000;1791.5;1922.5;1791.5;1910;249695;0
FIVE-гдр;D;20190426;000000;1910;1912;1866.5;1912;75890;0
FIVE-гдр;D;20190429;000000;1900;1945;1868;1894.5;41105;0
FIVE-гдр;D;20190430;000000;1907;1963;1875;1963;117145;0
FIVE-гдр;D;20190502;000000;1974;1974.5;1924;1967;47300;0
FIVE-гдр;D;20190503;000000;1970;2018.5;1957;1999.5;82023;0
FIVE-гдр;D;20190506;000000;2000;2000;1931.5;1970;49331;0
FIVE-гдр;D;20190507;000000;1966;1998;1965;1983;58338;0
FIVE-гдр;D;20190508;000000;1969.5;1993.5;1927;1927;103615;0
FIVE-гдр;D;20190510;000000;1903.5;1950;1892.5;1896;99399;0
FIVE-гдр;D;20190513;000000;1914.5;1948;1891.5;1904;110590;0
FIVE-гдр;D;20190514;000000;1922;1941;1886.5;1908.5;130361;0
FIVE-гдр;D;20190515;000000;1918.5;1921.5;1893.5;1897;102710;0
FIVE-гдр;D;20190516;000000;1890;1969.5;1887;1943;153333;0
FIVE-гдр;D;20190517;000000;1930;2020;1924.5;2000;155205;0
FIVE-гдр;D;20190520;000000;2017.5;2019.5;1957.5;1995;98375;0
FIVE-гдр;D;20190521;000000;2003.5;2011;1934.5;1952;78046;0
FIVE-гдр;D;20190522;000000;1951.5;1955;1914;1933.5;88277;0
FIVE-гдр;D;20190523;000000;1874;1889.5;1845.5;1857.5;131674;0
FIVE-гдр;D;20190524;000000;1857.5;1873.5;1817;1828;72937;0
FIVE-гдр;D;20190527;000000;1828;1864;1827.5;1857.5;23819;0
FIVE-гдр;D;20190528;000000;1867;1875.5;1802.5;1847;297496;0
FIVE-гдр;D;20190529;000000;1839;1908;1834.5;1901;113987;0
FIVE-гдр;D;20190530;000000;1890;1924.5;1890;1924;99343;0
FIVE-гдр;D;20190531;000000;1923;1940.5;1890.5;1922.5;77091;0
FIVE-гдр;D;20190603;000000;1899.5;2019;1898;2010;101314;0
FIVE-гдр;D;20190604;000000;1998;2030;1982.5;2005;85727;0
FIVE-гдр;D;20190605;000000;1993;2044;1977;2033;84438;0
FIVE-гдр;D;20190606;000000;2033.5;2049.5;2019.5;2045;65346;0
FIVE-гдр;D;20190607;000000;2045;2073;2010.5;2040.5;72505;0
FIVE-гдр;D;20190610;000000;2045;2053.5;2027;2049;43030;0
FIVE-гдр;D;20190611;000000;2048.5;2107;2032;2093;206683;0
FIVE-гдр;D;20190613;000000;2099;2099.5;2056;2098;103624;0
FIVE-гдр;D;20190614;000000;2098;2130.5;2065;2066;89005;0
FIVE-гдр;D;20190617;000000;2072;2097;2045.5;2052.5;98755;0
FIVE-гдр;D;20190618;000000;2066.5;2084;2045;2071.5;105267;0
FIVE-гдр;D;20190619;000000;2072;2247.5;2040;2074;59290;0
FIVE-гдр;D;20190620;000000;2056;2122;2056;2090.5;277012;0
FIVE-гдр;D;20190621;000000;2085;2148;2070;2130;153033;0
FIVE-гдр;D;20190624;000000;2132;2159;2110.5;2159;68967;0
FIVE-гдр;D;20190625;000000;2143.5;2160;2121.5;2154;73854;0
FIVE-гдр;D;20190626;000000;2152;2232;2146;2221.5;128731;0
FIVE-гдр;D;20190627;000000;2230;2252.5;2205.5;2235;84376;0
FIVE-гдр;D;20190628;000000;2225.5;2243.5;2154.5;2177.5;67978;0
FIVE-гдр;D;20190701;000000;2180;2198.5;2131.5;2136.5;53444;0
FIVE-гдр;D;20190702;000000;2130;2249;2125.5;2240;136631;0
FIVE-гдр;D;20190703;000000;2242;2277;2188;2258;93963;0
FIVE-гдр;D;20190704;000000;2248.5;2257.5;2216.5;2230.5;73322;0
FIVE-гдр;D;20190705;000000;2225.5;2254;2211.5;2254;52147;0
FIVE-гдр;D;20190708;000000;2245;2246.5;2192;2220;92761;0
FIVE-гдр;D;20190709;000000;2210;2218.5;2160;2179.5;59724;0
FIVE-гдр;D;20190710;000000;2187.5;2215.5;2153.5;2215.5;76028;0
FIVE-гдр;D;20190711;000000;2217.5;2217.5;2143.5;2171;69665;0
FIVE-гдр;D;20190712;000000;2173.5;2210;2169;2197;59908;0
FIVE-гдр;D;20190715;000000;2210;2234.5;2185;2210;55046;0
FIVE-гдр;D;20190716;000000;2209;2252;2202;2249;101737;0
