<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150430;000000;6334.5900000;6350.8900000;6291.0700000;6297.8000000;2006495177
RI.MOEXCN;D;20150505;000000;6304.6400000;6378.1600000;6269.9000000;6312.3200000;2163263601
RI.MOEXCN;D;20150506;000000;6308.9000000;6321.1100000;6265.4500000;6273.8300000;957568816
RI.MOEXCN;D;20150507;000000;6271.4400000;6276.8400000;6161.9200000;6201.6300000;1468466167
RI.MOEXCN;D;20150508;000000;6215.7300000;6305.9100000;6207.1200000;6276.1500000;1238722426
RI.MOEXCN;D;20150512;000000;6279.5800000;6325.3000000;6233.4200000;6308.6000000;1348507057
RI.MOEXCN;D;20150513;000000;6309.5400000;6339.4800000;6282.4400000;6292.0200000;840454293
RI.MOEXCN;D;20150514;000000;6296.9800000;6387.6700000;6259.7800000;6313.9500000;972039906
RI.MOEXCN;D;20150515;000000;6316.4300000;6377.0700000;6315.2900000;6315.2900000;1104812165
RI.MOEXCN;D;20150518;000000;6317.6900000;6339.0100000;6262.7700000;6285.5600000;1174175189
RI.MOEXCN;D;20150519;000000;6282.4000000;6311.3500000;6232.4600000;6310.1300000;864832841
RI.MOEXCN;D;20150520;000000;6309.5400000;6309.5400000;6204.8700000;6232.5000000;476257643
RI.MOEXCN;D;20150521;000000;6234.3100000;6277.2300000;6199.1500000;6232.9200000;732875359
RI.MOEXCN;D;20150522;000000;6234.2000000;6246.6700000;6195.5700000;6219.4400000;487397244
RI.MOEXCN;D;20150525;000000;6215.5200000;6230.9200000;6168.7100000;6190.6800000;652420683
RI.MOEXCN;D;20150526;000000;6186.7400000;6246.3500000;6167.0300000;6167.0300000;714659773
RI.MOEXCN;D;20150527;000000;6163.3500000;6234.7900000;6139.2600000;6231.8500000;994262653
RI.MOEXCN;D;20150528;000000;6257.8300000;6291.5900000;6177.6700000;6177.6700000;734104877
RI.MOEXCN;D;20150529;000000;6181.1500000;6251.8600000;6146.2800000;6146.2800000;1331370468
RI.MOEXCN;D;20150601;000000;6158.1800000;6205.2300000;6150.1800000;6150.1800000;783393165
RI.MOEXCN;D;20150602;000000;6155.9200000;6210.0000000;6128.1700000;6190.7300000;980675390
RI.MOEXCN;D;20150603;000000;6197.8400000;6233.6400000;6149.8500000;6161.0300000;1326087574
RI.MOEXCN;D;20150604;000000;6176.6900000;6188.0500000;6106.4400000;6122.9800000;1181437163
RI.MOEXCN;D;20150605;000000;6126.9600000;6157.9200000;6082.7800000;6113.7700000;1043088593
RI.MOEXCN;D;20150608;000000;6118.8200000;6130.8400000;6062.4200000;6071.6000000;864815658
RI.MOEXCN;D;20150609;000000;6076.3000000;6109.3700000;6047.6900000;6089.3500000;995567352
RI.MOEXCN;D;20150610;000000;6090.9000000;6097.1300000;6019.8200000;6025.5600000;822216371
RI.MOEXCN;D;20150611;000000;6025.5600000;6052.9700000;5960.2700000;6036.7100000;2018139483
RI.MOEXCN;D;20150615;000000;6037.6300000;6124.7000000;6024.3400000;6120.9000000;594534667
RI.MOEXCN;D;20150616;000000;6118.5500000;6168.3600000;6098.8300000;6142.9300000;1423833382
RI.MOEXCN;D;20150617;000000;6150.5500000;6205.5900000;6148.7200000;6176.7200000;1748745001
RI.MOEXCN;D;20150618;000000;6170.5500000;6210.3000000;6146.6700000;6199.2900000;1603270712
RI.MOEXCN;D;20150619;000000;6202.9700000;6209.0300000;6133.3000000;6159.2900000;906632299
RI.MOEXCN;D;20150622;000000;6157.2300000;6227.0100000;6134.7600000;6203.6300000;750691216
RI.MOEXCN;D;20150623;000000;6203.6300000;6224.3100000;6161.0700000;6204.2200000;885291460
RI.MOEXCN;D;20150624;000000;6207.6400000;6212.1300000;6125.7200000;6153.3500000;1216702488
RI.MOEXCN;D;20150625;000000;6133.3900000;6164.8600000;6132.8100000;6154.4400000;1187670788
RI.MOEXCN;D;20150626;000000;6047.2600000;6098.5300000;6021.2500000;6063.7900000;2067188784
RI.MOEXCN;D;20150629;000000;6057.8300000;6263.8900000;6020.8800000;6035.0200000;1167545425
RI.MOEXCN;D;20150630;000000;6036.3900000;6052.8400000;6001.1600000;6036.4600000;1507272216
RI.MOEXCN;D;20150701;000000;6036.7000000;6083.1200000;5999.6500000;6064.8600000;1175360243
RI.MOEXCN;D;20150702;000000;6066.0000000;6066.0000000;5976.0000000;6017.6400000;877089371
RI.MOEXCN;D;20150703;000000;6016.5800000;6028.0700000;5974.9600000;5990.4000000;364322971
RI.MOEXCN;D;20150706;000000;5990.7600000;6009.3900000;5950.0000000;5984.2300000;780558409
RI.MOEXCN;D;20150707;000000;5984.2300000;6006.0600000;5907.8900000;5911.4700000;3361344206
RI.MOEXCN;D;20150708;000000;5911.0300000;5948.5400000;5786.3200000;5836.7000000;1430002232
RI.MOEXCN;D;20150709;000000;5843.8300000;5917.1500000;5824.5300000;5884.8400000;1191981215
RI.MOEXCN;D;20150710;000000;5887.7300000;5921.4000000;5876.2200000;5908.8400000;1582362032
RI.MOEXCN;D;20150713;000000;5910.2400000;6021.0700000;5907.5000000;5981.5100000;1997763861
RI.MOEXCN;D;20150714;000000;5987.6400000;6038.6800000;5953.6300000;6006.7000000;1722938955
