The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS1603335610;; 19.11.2018);;;;;;;;
; 12.03.2021);; 18.01.2019);;;;;;;;
; XS2240504881;; 28.02.2018);;;;;;;;
; XS0234987153;; 30.03.2018);;;;;;;;
; XS0494095754;; 01.10.2018);;;;;;;;
; XS0513723873;; 25.02.2019);;;;;;;;
; XS0592794597;; 15.03.2019);;;;;;;;
; XS0650962185;; 16.07.2019);;;;;;;;
; XS0719009754;; 15.10.2019);;;;;;;;
; XS0832412505;; 18.11.2019);;;;;;;;
; XS0841671000;; 07.11.2017);;;;;;;;
; XS0863583281 (Третий уровень);; 28.11.2017);;;;;;;;
; XS0922301717 (Третий уровень;; 23.05.2018);;;;;;;;
; XS0922134712;; 20.06.2018);;;;;;;;
; XS0975320879;; 05.12.2018);;;;;;;;
; XS1040726587 (Третий уровень;; 20.12.2018);;;;;;;;
; XS1533915721;; 18.03.2019);;;;;;;;
; XS1585190389;; 10.04.2019);;;;;;;;
; XS1721463500;; 17.04.2019);;;;;;;;
; GAZ18;; 04.06.2019);;;;;;;;
; 06.08.2021);; 11.06.2019);;;;;;;;
; 19.03.2021);; 20.06.2019);;;;;;;;
; XS0359381331 (Третий уровень;; 27.06.2019);;;;;;;;
; XS1117300753;; 18.07.2019);;;;;;;;
; 02.04.2021);; 09.08.2019);;;;;;;;
; XS1601094755;; 26.08.2019);;;;;;;;
; XS1654237129;; 21.10.2019);;;;;;;;
; XS1961080501;; 22.10.2019);;;;;;;;
